m,data_gen,z_test,bonferroni,hochberg,fdr
4,2.6070000603795052e-05,3.428915981203318e-05,6.625009700655937e-07,2.0608422346413136e-06,1.4416803605854512e-06
8,4.937502089887857e-06,1.979334047064185e-05,7.325015030801297e-07,1.846661325544119e-06,2.4758395738899707e-06
16,4.788320511579514e-06,2.0147499162703754e-05,6.458396092057228e-07,2.7566798962652684e-06,3.0008400790393353e-06
32,4.895818419754505e-06,2.0252501126378775e-05,6.3000014051795e-07,2.735820598900318e-06,5.197499413043261e-06
64,5.090839695185423e-06,2.002917928621173e-05,6.200000643730164e-07,4.394999705255032e-06,1.006915932521224e-05
128,5.657498259097338e-06,2.3880840744823216e-05,7.899990305304527e-07,1.3545840047299862e-05,1.8237498588860036e-05
256,6.574159488081932e-06,2.395418006926775e-05,6.800005212426185e-07,1.4178338460624218e-05,4.1641660500317814e-05
512,1.0898320470005274e-05,3.0159999150782825e-05,7.733399979770183e-07,3.312084125354886e-05,8.399915881454945e-05
1024,1.4005841221660375e-05,3.6753341555595397e-05,9.316601790487766e-07,6.363081978634e-05,0.00024052249966189266
