param,value,original,optimized,speedup
m,4,1.9843229999532923,0.11454924999270588,17.322880770320605
m,8,2.018174665980041,0.15110020898282528,13.35653126865917
m,16,2.1109017910202965,0.25224275002256036,8.3685330533048
m,32,2.1953787920065224,0.418609416927211,5.2444562956123395
m,64,2.4766827080165967,0.7817878329660743,3.167972950691946
L,5,2.042817624984309,0.1972259160829708,10.35775452615932
L,8,2.106819250038825,0.2277802920434624,9.24934826950185
L,10,2.071555875008926,0.2404551669023931,8.61514394427558
L,15,2.062839583028108,0.257946916972287,7.997147658290224
mode,D,2.059851541998796,0.23913658293895423,8.613703167802754
mode,E,2.0631979579338804,0.24946954101324081,8.27034013673186
mode,I,2.065308833029121,0.25364970800001174,8.142366294500231
null_ratio,0.0,2.110549832927063,0.35785087500698864,5.89784734461204
null_ratio,0.25,2.0833622500067577,0.298416709061712,6.981386050926265
null_ratio,0.5,2.1645100410096347,0.373689915984869,5.792262376963037
null_ratio,0.75,2.1032867080066353,0.17655683297198266,11.912802651712722
